,correct word,misspelled word,total edit distance,number of words with error,close change,changes,none word
0,موارد ابتلا,موارد ابطلا,1.0,,1.0,0.0,True
1,با موضوع,با موزوع,1.0,,True,0.0,True
2,با موضوع,با موظوع,1.0,,True,0.0,True
3,با موضوع,با موذوع,1.0,,True,0.0,True
4,ساله در,صاله در,1.0,,True,0.0,True
5,ساله در,ثاله در,1.0,,True,0.0,False
6,ساله در,سالح در,1.0,,True,0.0,True
7,ساله در,ثاله در,1.0,,True,0.0,False
8,ساله در,صاله در,1.0,,True,0.0,True
9,ساله در,ثالح در,2.0,,True,0.0,True
10,ساله در,صالح در,2.0,,True,0.0,False
11,از چنین,اض چنین,1.0,,True,0.0,True
12,از چنین,اظ چنین,1.0,,True,0.0,True
13,از چنین,اذ چنین,1.0,,True,0.0,False
14,و موفق,و موفغ,1.0,,True,0.0,True
15,موثر است,موثر اثت,1.0,,True,0.0,True
16,موثر است,موثر اصت,1.0,,True,0.0,False
17,موثر است,موسر است,1.0,,True,0.0,True
18,موثر است,موثر اسط,1.0,,True,0.0,True
19,موثر است,موصر اسط,2.0,,True,0.0,True
20,موثر است,موصر است,1.0,,True,0.0,True
21,موثر است,موسر اسط,2.0,,True,0.0,True
22,موثر است,موسر اصت,2.0,,True,0.0,True
23,موثر است,موثر اصت,1.0,,True,0.0,False
24,موثر است,موصر اسط,2.0,,True,0.0,True
25,موثر است,موصر اصت,2.0,,True,0.0,True
26,موثر است,موصر است,1.0,,True,0.0,True
27,موثر است,موصر اثت,2.0,,True,0.0,True
28,موثر است,موصر اثط,3.0,,True,0.0,True
29,موثر است,موسر اصط,3.0,,True,0.0,True
30,موثر است,موثر اثط,2.0,,True,0.0,True
31,موثر است,موسر اسط,2.0,,True,0.0,True
32,موثر است,موسر است,1.0,,True,0.0,True
33,موثر است,موثر اصط,2.0,,True,0.0,True
34,موثر است,موثر اثت,1.0,,True,0.0,True
35,موثر است,موثر اسط,1.0,,True,0.0,True
36,موثر است,موصر اصط,3.0,,True,0.0,True
37,موثر است,موسر اثت,2.0,,True,0.0,True
38,موثر است,موسر اثط,3.0,,True,0.0,True
39,درحالی‌که در,درهالی‌که در,1.0,,True,0.0,True
40,درحالی‌که در,درهالی‌که در,1.0,,True,0.0,True
41,درحالی‌که در,درحالی‌کح در,1.0,,True,0.0,True
42,درحالی‌که در,درهالی‌کح در,2.0,,True,0.0,True
43,هم از,هم اض,1.0,,True,0.0,True
44,هم از,هم اذ,1.0,,True,0.0,False
45,هم از,هم اظ,1.0,,True,0.0,True
46,هم از,هم اض,1.0,,True,0.0,True
47,هم از,حم اض,2.0,,True,0.0,True
48,هم از,هم اظ,1.0,,True,0.0,True
49,هم از,حم اظ,2.0,,True,0.0,True
50,هم از,حم از,1.0,,True,0.0,False
51,هم از,حم اذ,2.0,,True,0.0,False
52,هم از,هم اذ,1.0,,True,0.0,False
53,هستند در,هسطند در,1.0,,True,0.0,True
54,هستند در,حثتند در,2.0,,True,0.0,True
55,هستند در,حصتند در,2.0,,True,0.0,True
56,هستند در,حستند در,1.0,,True,0.0,True
57,هستند در,هصتند در,1.0,,True,0.0,True
58,هستند در,هثتند در,1.0,,True,0.0,True
59,هستند در,حسطند در,2.0,,True,0.0,True
60,هستند در,حثطند در,3.0,,True,0.0,True
61,هستند در,هصطند در,2.0,,True,0.0,True
62,هستند در,حثتند در,2.0,,True,0.0,True
63,هستند در,حصتند در,2.0,,True,0.0,True
64,هستند در,هثطند در,2.0,,True,0.0,True
65,هستند در,هسطند در,1.0,,True,0.0,True
66,هستند در,حستند در,1.0,,True,0.0,True
67,هستند در,حصطند در,3.0,,True,0.0,True
68,هستند در,هصتند در,1.0,,True,0.0,True
69,هستند در,هثتند در,1.0,,True,0.0,True
70,مشاور امنیت,مشاور امنیط,1.0,,True,0.0,True
71,بحران اقتصادی,بحران اغتصادی,1.0,,True,0.0,True
72,بحران اقتصادی,بحران اغطصادی,2.0,,True,0.0,True
73,بحران اقتصادی,بحران اغتصادی,1.0,,True,0.0,True
74,بحران اقتصادی,بحران اقطصادی,1.0,,True,0.0,True
75,بحران اقتصادی,بحران اقطثادی,2.0,,True,0.0,True
76,بحران اقتصادی,بحران اقتثادی,1.0,,True,0.0,True
77,بحران اقتصادی,بهران اقطصادی,2.0,,True,0.0,True
78,بحران اقتصادی,بهران اقتسادی,2.0,,True,0.0,True
79,بحران اقتصادی,بهران اقتثادی,2.0,,True,0.0,True
80,بحران اقتصادی,بهران اقتصادی,1.0,,True,0.0,False
81,بحران اقتصادی,بحران اقطسادی,2.0,,True,0.0,True
82,بحران اقتصادی,بحران اقتسادی,1.0,,True,0.0,True
83,بحران اقتصادی,بحران اقطصادی,1.0,,True,0.0,True
84,بحران اقتصادی,بهران اقطسادی,3.0,,True,0.0,True
85,بحران اقتصادی,بهران اقطثادی,3.0,,True,0.0,True
86,بحران اقتصادی,بحران اقطثادی,2.0,,True,0.0,True
87,بحران اقتصادی,بحران اقتثادی,1.0,,True,0.0,True
88,بحران اقتصادی,بحران اغتثادی,2.0,,True,0.0,True
89,بحران اقتصادی,بهران اغتسادی,3.0,,True,0.0,True
90,بحران اقتصادی,بهران اغطسادی,4.0,,True,0.0,True
91,بحران اقتصادی,بحران اغطصادی,2.0,,True,0.0,True
92,بحران اقتصادی,بهران اقتسادی,2.0,,True,0.0,True
93,بحران اقتصادی,بحران اقطسادی,2.0,,True,0.0,True
94,بحران اقتصادی,بحران اغتصادی,1.0,,True,0.0,True
95,بحران اقتصادی,بحران اقتسادی,1.0,,True,0.0,True
96,بحران اقتصادی,بحران اغتسادی,2.0,,True,0.0,True
97,بحران اقتصادی,بهران اقطسادی,3.0,,True,0.0,True
98,بحران اقتصادی,بحران اغطثادی,3.0,,True,0.0,True
99,بحران اقتصادی,بهران اقطثادی,3.0,,True,0.0,True
100,بحران اقتصادی,بهران اغطثادی,4.0,,True,0.0,True
101,بحران اقتصادی,بهران اقطصادی,2.0,,True,0.0,True
102,بحران اقتصادی,بهران اقتثادی,2.0,,True,0.0,True
103,بحران اقتصادی,بهران اغتثادی,3.0,,True,0.0,True
104,بحران اقتصادی,بهران اقتصادی,1.0,,True,0.0,False
105,بحران اقتصادی,بحران اقطصادی,1.0,,True,0.0,True
106,بحران اقتصادی,بحران اغطسادی,3.0,,True,0.0,True
107,بحران اقتصادی,بهران اغطصادی,3.0,,True,0.0,True
108,بحران اقتصادی,بهران اغتصادی,2.0,,True,0.0,True
109,از هرگونه,اض هرگونه,1.0,,True,0.0,True
110,از هرگونه,اذ هرگونه,1.0,,True,0.0,False
111,از هرگونه,اظ هرگونه,1.0,,True,0.0,True
112,از هرگونه,اذ هرگونه,1.0,,True,0.0,False
113,از هرگونه,از حرگونه,1.0,,True,0.0,True
114,از هرگونه,اض هرگونه,1.0,,True,0.0,True
115,از هرگونه,اظ حرگونه,2.0,,True,0.0,True
116,از هرگونه,اض حرگونه,2.0,,True,0.0,True
117,از هرگونه,اظ هرگونه,1.0,,True,0.0,True
118,از هرگونه,اذ حرگونه,2.0,,True,0.0,True
119,از هرگونه,اذ هرگونه,1.0,,True,0.0,False
120,از هرگونه,اظ هرگونح,2.0,,True,0.0,True
121,از هرگونه,اض هرگونه,1.0,,True,0.0,True
